vendor,label,url,saved_path,status,size_bytes,title
source,plan_pages,local:/Users/robertchen/Desktop/大心居護所系統整合執行計畫書.pages,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/00_source_plan/大心居護所系統整合執行計畫書.pages,ok,757836,
source,plan_pdf,local:/Users/robertchen/Desktop/大心居護所系統整合執行計畫書.pdf,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/00_source_plan/大心居護所系統整合執行計畫書.pdf,ok,272353,
neocare,official_home,https://neov.ai/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/official_home.html,ok,32027,諾歐科技 Neova｜智慧照護與健康管理平台
neocare,product_page,https://neov.ai/products,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/product_page.html,ok,56328,居護系統 neoCare｜居家護理照護管理系統｜健保申報、巡診、徵象
neocare,about,https://neov.ai/about,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/about.html,ok,26369,關於我們｜諾歐科技 Neova
neocare,contact,https://neov.ai/contact,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/contact.html,ok,23772,聯絡我們｜諾歐科技 Neova
neocare,privacy,https://neov.ai/privacy,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/privacy.html,ok,23620,隱私權政策｜諾歐科技 Neova
neocare,sitemap,https://neov.ai/sitemap.xml,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/sitemap.xml,ok,1244,
neocare,news_neocare_launched_20250630,https://neov.ai/news/neocare-launched-20250630,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/01_neocare_neova/news_neocare_launched_20250630.html,ok,18851,最新消息｜諾歐科技 Neova
jubo,official_home,https://jubo-health.com/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/official_home.html,ok,176931,Jubo Health 智齡科技 | 台灣最懂你的照護系統
jubo,resource_platform,https://ltc.jubo-care.com/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/resource_platform.html,ok,16742,國衛院 × 智齡科技長照資源網｜照顧家人不迷路，全台機構查詢第一站
jubo,about_us,https://jubo-health.com/about-us/,/Users/robertchen/Desktop/AI AGENT LAB/大心居護所_系統公司文件蒐集_20260221/02_jubo/about_us.html,ok,139392,經營理念 - 照護科技 | Jubo Health 智齡科技 | 台灣最懂你的照護系統
